,Unnamed: 0,지역코드,법정동,거래일,아파트,지번,전용면적,층,건축년도,거래금액,법정동본번코드,법정동부번코드,법정동시군구코드,법정동읍면동코드,법정동지번코드,도로명,도로명건물본번호코드,도로명건물부번호코드,도로명시군구코드,도로명일련번호코드,도로명지상지하코드,도로명코드
0,11,11680,개포동,2021-02-15,래미안블레스티지,1280,84.943,1,2019,251000,1280,0,11680,10300,1,선릉로,8,0,11680,0,,3122006
1,22,11680,개포동,2021-02-28,개포주공 6단지,185,73.02,7,1983,240500,185,0,11680,10300,1,개포로,516,0,11680,1,0.0,3122001
2,25,11680,논현동,2021-02-03,신동아(22),22,84.52,5,1997,165000,22,0,11680,10800,1,강남대로146길,28,0,11680,1,0.0,4166019
3,30,11680,논현동,2021-02-09,제이빌,108-2,75.12,5,2004,95000,108,2,11680,10800,1,학동로43길,30,0,11680,1,0.0,4166799
4,33,11680,논현동,2021-02-18,동부센트레빌,275,84.9875,20,2003,179500,275,0,11680,10800,1,언주로116길,6,0,11680,1,0.0,4166567
5,35,11680,대치동,2021-02-02,은마,316,76.79,7,1979,217000,316,0,11680,10600,1,삼성로,212,0,11680,4,0.0,3122005
6,38,11680,대치동,2021-02-08,"대치우성아파트1동, 2동, 3동, 5동, 6동, 7동",63,84.69,7,1984,227000,63,0,11680,10600,1,영동대로,230,0,11680,4,0.0,2122002
7,39,11680,대치동,2021-02-08,"대치우성아파트1동, 2동, 3동, 5동, 6동, 7동",63,84.69,7,1984,227000,63,0,11680,10600,1,영동대로,230,0,11680,4,0.0,2122002
8,40,11680,대치동,2021-02-09,은마,316,84.43,9,1979,240000,316,0,11680,10600,1,삼성로,212,0,11680,4,0.0,3122005
9,42,11680,대치동,2021-02-10,은마,316,76.79,5,1979,220000,316,0,11680,10600,1,삼성로,212,0,11680,4,0.0,3122005
10,44,11680,대치동,2021-02-16,한보미도맨션2,511,84.96,6,1985,259000,511,0,11680,10600,1,삼성로,150,0,11680,4,0.0,3122005
11,45,11680,대치동,2021-02-18,은마,316,76.79,6,1979,218000,316,0,11680,10600,1,삼성로,212,0,11680,4,0.0,3122005
12,49,11680,대치동,2021-02-23,"대치우성아파트1동, 2동, 3동, 5동, 6동, 7동",63,84.69,12,1984,233500,63,0,11680,10600,1,영동대로,230,0,11680,4,0.0,2122002
13,50,11680,대치동,2021-02-24,은마,316,84.43,6,1979,245000,316,0,11680,10600,1,삼성로,212,0,11680,4,0.0,3122005
14,52,11680,대치동,2021-02-25,우정에쉐르,950,97.85,4,2004,150000,950,0,11680,10600,1,영동대로85길,17,0,11680,1,0.0,4166701
15,53,11680,도곡동,2021-02-01,한신엠비씨,895-8,84.74,6,1988,197800,895,8,11680,11800,1,논현로,205,0,11680,5,0.0,3121022
16,56,11680,도곡동,2021-02-03,럭키(963),963,84.97,15,1995,203000,963,0,11680,11800,1,논현로,213,0,11680,5,0.0,3121022
17,57,11680,도곡동,2021-02-04,현대아파트 1동~3동,961,84.96,14,1994,175000,961,0,11680,11800,1,도곡로18길,35,0,11680,0,,4166217
18,64,11680,도곡동,2021-02-10,럭키(963),963,84.97,10,1995,204000,963,0,11680,11800,1,논현로,213,0,11680,5,0.0,3121022
19,67,11680,도곡동,2021-02-15,대림,960,84.93,5,1992,184000,960,0,11680,11800,1,논현로41길,10,0,11680,0,0.0,4166850
20,68,11680,도곡동,2021-02-16,역삼우성,934-10,84.83,2,1986,180000,934,10,11680,11800,1,남부순환로363길,49,0,11680,1,0.0,4166093
21,71,11680,도곡동,2021-02-17,도곡1차아이파크,543-7,84.122,6,2007,200000,543,7,11680,11800,1,도곡로28길,8,0,11680,0,,4166852
22,78,11680,도곡동,2021-02-24,한신엠비씨,895-8,84.74,10,1988,197000,895,8,11680,11800,1,논현로,205,0,11680,5,0.0,3121022
23,88,11680,도곡동,2021-02-26,우성4,465,84.6,2,1985,238000,465,0,11680,11800,1,언주로,117,0,11680,5,0.0,3005086
24,91,11680,삼성동,2021-02-01,레미안삼성1차(104),104-10,84.98,8,2005,225000,104,10,11680,10500,1,영동대로114길,56,0,11680,1,0.0,4166678
25,92,11680,삼성동,2021-02-04,현대힐스테이트 2단지,50,84.236,19,2008,260000,50,0,11680,10500,1,삼성로111길,8,0,11680,1,0.0,4166392
26,93,11680,삼성동,2021-02-04,현대힐스테이트 2단지,50,84.236,19,2008,260000,50,0,11680,10500,1,삼성로111길,8,0,11680,1,0.0,4166392
27,96,11680,삼성동,2021-02-06,삼성동힐스테이트 1단지,16-2,84.503,14,2008,235000,16,2,11680,10500,1,학동로68길,29,0,11680,1,0.0,4166816
28,97,11680,삼성동,2021-02-08,홍실아파트,79,96.32,7,1981,258000,79,0,11680,10500,1,영동대로128길,15,0,11680,1,0.0,4166843
29,101,11680,삼성동,2021-02-18,홍실아파트,79,96.32,3,1981,250000,79,0,11680,10500,1,영동대로128길,15,0,11680,1,0.0,4166843
30,104,11680,삼성동,2021-02-25,삼성동힐스테이트 1단지,16-2,84.236,14,2008,258000,16,2,11680,10500,1,학동로68길,29,0,11680,1,0.0,4166816
31,106,11680,삼성동,2021-02-25,삼성월드타워,3-1,84.202,4,1997,120620,3,1,11680,10500,1,학동로,408,0,11680,2,0.0,3122011
32,108,11680,삼성동,2021-02-26,삼성월드타워,3-1,84.202,9,1997,127170,3,1,11680,10500,1,학동로,408,0,11680,2,0.0,3122011
33,109,11680,삼성동,2021-02-26,삼성월드타워,3-1,84.202,6,1997,121930,3,1,11680,10500,1,학동로,408,0,11680,2,0.0,3122011
34,113,11680,세곡동,2021-02-24,세곡푸르지오,533,84.84,13,2012,170000,533,0,11680,11100,1,자곡로,21,0,11680,1,0.0,3122014
35,116,11680,수서동,2021-02-01,삼성,747,84.97,8,1997,189500,747,0,11680,11500,1,광평로31길,27,0,11680,1,0.0,4166074
36,122,11680,수서동,2021-02-11,삼성,747,84.97,14,1997,190000,747,0,11680,11500,1,광평로31길,27,0,11680,1,0.0,4166074
37,123,11680,수서동,2021-02-15,삼익,708,84.48,14,1992,166000,708,0,11680,11500,1,광평로51길,27,0,11680,1,0.0,4166081
38,131,11680,압구정동,2021-02-01,미성2차,397,74.4,12,1987,249500,397,0,11680,11000,1,압구정로,113,0,11680,3,0.0,3122007
39,145,11680,압구정동,2021-02-08,현대3차(61~64동),443,82.5,12,1976,282000,443,0,11680,11000,1,압구정로39길,58,0,11680,0,,4166522
40,154,11680,압구정동,2021-02-15,"현대5차(71,72동)",455,82.23,1,1977,288000,455,0,11680,11000,1,압구정로29길,68,0,11680,1,0.0,4166514
41,160,11680,압구정동,2021-02-23,미성2차,397,74.4,7,1987,238500,397,0,11680,11000,1,압구정로,113,0,11680,3,0.0,3122007
42,171,11680,역삼동,2021-02-05,프리우스 역삼 102동,636,84.18,3,2006,115000,636,0,11680,10100,1,테헤란로13길,31,7,11680,1,0.0,4166718
43,177,11680,역삼동,2021-02-16,역삼푸르지오,754-1,84.9097,9,2006,260000,754,1,11680,10100,1,언주로,332,0,11680,1,0.0,3005086
44,181,11680,역삼동,2021-02-22,역삼디오슈페리움,832-5,84.34,16,2006,126000,832,5,11680,10100,1,강남대로,324,0,11680,1,0.0,2102001
45,187,11680,역삼동,2021-02-26,한양럭스,628-1,72.62,1,2003,69000,628,1,11680,10100,1,테헤란로25길,58,0,11680,1,0.0,4166726
46,188,11680,일원동,2021-02-03,가람,735,84.95,2,1993,220000,735,0,11680,11400,1,일원로,127,0,11680,1,0.0,3122009
47,189,11680,일원동,2021-02-06,푸른마을 아파트 101동~111동,719,84.93,13,1994,186000,719,0,11680,11400,1,일원로14길,25,0,11680,0,,4166705
48,191,11680,일원동,2021-02-09,래미안 개포 루체하임,741,84.97,15,2018,274500,741,0,11680,11400,1,개포로110길,50,0,11680,1,0.0,4166041
49,193,11680,일원동,2021-02-22,우성7,615,84.06,2,1987,210000,615,0,11680,11400,1,개포로110길,15,0,11680,1,0.0,4166041
50,194,11680,자곡동,2021-02-01,엘에이치강남아이파크,602,74.97,9,2014,87400,602,0,11680,11200,1,자곡로,175,0,11680,2,0.0,3122014
51,196,11680,자곡동,2021-02-02,엘에이치강남아이파크,602,84.83,12,2014,96600,602,0,11680,11200,1,자곡로,175,0,11680,2,0.0,3122014
52,197,11680,자곡동,2021-02-03,엘에이치강남아이파크,602,74.97,10,2014,87650,602,0,11680,11200,1,자곡로,175,0,11680,2,0.0,3122014
53,198,11680,자곡동,2021-02-03,엘에이치강남아이파크,602,74.89,2,2014,81850,602,0,11680,11200,1,자곡로,175,0,11680,2,0.0,3122014
54,200,11680,자곡동,2021-02-05,엘에이치강남아이파크,602,74.97,10,2014,86950,602,0,11680,11200,1,자곡로,175,0,11680,2,0.0,3122014
55,201,11680,자곡동,2021-02-05,엘에이치강남아이파크,602,74.89,9,2014,85550,602,0,11680,11200,1,자곡로,175,0,11680,2,0.0,3122014
56,202,11680,자곡동,2021-02-05,엘에이치강남아이파크,602,84.92,14,2014,98750,602,0,11680,11200,1,자곡로,175,0,11680,2,0.0,3122014
57,204,11680,자곡동,2021-02-05,엘에이치강남아이파크,602,74.97,14,2014,87400,602,0,11680,11200,1,자곡로,175,0,11680,2,0.0,3122014
58,205,11680,자곡동,2021-02-07,엘에이치강남아이파크,602,74.89,5,2014,165000,602,0,11680,11200,1,자곡로,175,0,11680,2,0.0,3122014
59,208,11680,자곡동,2021-02-09,엘에이치강남아이파크,602,74.97,9,2014,87100,602,0,11680,11200,1,자곡로,175,0,11680,2,0.0,3122014
60,209,11680,자곡동,2021-02-09,엘에이치강남아이파크,602,84.92,2,2014,93750,602,0,11680,11200,1,자곡로,175,0,11680,2,0.0,3122014
61,210,11680,자곡동,2021-02-10,엘에이치강남아이파크,602,84.96,4,2014,95650,602,0,11680,11200,1,자곡로,175,0,11680,2,0.0,3122014
62,211,11680,자곡동,2021-02-10,엘에이치강남아이파크,602,84.92,5,2014,95450,602,0,11680,11200,1,자곡로,175,0,11680,2,0.0,3122014
63,212,11680,자곡동,2021-02-10,엘에이치강남아이파크,602,74.97,5,2014,84650,602,0,11680,11200,1,자곡로,175,0,11680,2,0.0,3122014
64,214,11680,자곡동,2021-02-17,강남한양수자인(4단지),BL-4,84.99,6,2014,168000,4,0,11680,11200,5,자곡로,260,0,11680,2,0.0,3122014
65,215,11680,자곡동,2021-02-17,엘에이치강남아이파크,602,74.97,15,2014,87300,602,0,11680,11200,1,자곡로,175,0,11680,2,0.0,3122014
66,218,11680,자곡동,2021-02-19,엘에이치강남아이파크,602,74.97,1,2014,82450,602,0,11680,11200,1,자곡로,175,0,11680,2,0.0,3122014
67,221,11680,자곡동,2021-02-22,엘에이치강남아이파크,602,74.89,4,2014,83050,602,0,11680,11200,1,자곡로,175,0,11680,2,0.0,3122014
68,222,11680,자곡동,2021-02-22,엘에이치강남아이파크,602,74.97,7,2014,86150,602,0,11680,11200,1,자곡로,175,0,11680,2,0.0,3122014
69,223,11680,자곡동,2021-02-22,엘에이치강남아이파크,602,84.92,5,2014,95450,602,0,11680,11200,1,자곡로,175,0,11680,2,0.0,3122014
70,226,11680,자곡동,2021-02-23,엘에이치강남아이파크,602,74.89,13,2014,169000,602,0,11680,11200,1,자곡로,175,0,11680,2,0.0,3122014
71,227,11680,자곡동,2021-02-23,엘에이치강남아이파크,602,74.97,11,2014,87500,602,0,11680,11200,1,자곡로,175,0,11680,2,0.0,3122014
72,228,11680,자곡동,2021-02-23,엘에이치강남아이파크,602,74.97,3,2014,83700,602,0,11680,11200,1,자곡로,175,0,11680,2,0.0,3122014
73,230,11680,자곡동,2021-02-24,엘에이치강남아이파크,602,74.97,6,2014,85150,602,0,11680,11200,1,자곡로,175,0,11680,2,0.0,3122014
74,231,11680,자곡동,2021-02-24,엘에이치강남아이파크,602,74.97,5,2014,84150,602,0,11680,11200,1,자곡로,175,0,11680,2,0.0,3122014
75,233,11680,자곡동,2021-02-24,엘에이치강남아이파크,602,74.97,1,2014,82650,602,0,11680,11200,1,자곡로,175,0,11680,2,0.0,3122014
76,235,11680,자곡동,2021-02-26,엘에이치강남아이파크,602,74.97,6,2014,84250,602,0,11680,11200,1,자곡로,175,0,11680,2,0.0,3122014
77,237,11680,자곡동,2021-02-26,엘에이치강남아이파크,602,74.89,7,2014,84650,602,0,11680,11200,1,자곡로,175,0,11680,2,0.0,3122014
78,238,11680,자곡동,2021-02-26,엘에이치강남아이파크,602,74.89,5,2014,83450,602,0,11680,11200,1,자곡로,175,0,11680,2,0.0,3122014
79,243,11680,청담동,2021-02-03,청담자이,134-38,89.115,11,2011,350000,134,38,11680,10400,1,영동대로138길,12,0,11680,1,0.0,4166686
80,244,11680,청담동,2021-02-04,청담자이,134-38,90.197,6,2011,274000,134,38,11680,10400,1,영동대로138길,12,0,11680,1,0.0,4166686
81,252,11680,청담동,2021-02-18,범신칼릭스빌,125,84.78,2,2005,135000,125,0,11680,10400,1,도산대로89길,12,0,11680,1,0.0,4166305
82,253,11680,청담동,2021-02-24,청담린든그로브,67-1,84.9979,3,2017,280000,67,1,11680,10400,1,학동로97길,51,0,11680,0,,4166828
